PropGuidedRelax(76.88310666469975)_ConfOrderSearch(Max)(50,NoMaxDiscrepancy) Some(675)
PropGuidedRelax(76.88310666469975)_ConfOrderSearch(Max)(500,NoMaxDiscrepancy) Some(675)
PropGuidedRelax(76.88310666469975)_ConfOrderSearch(Max)(5000,NoMaxDiscrepancy) Some(675)
PropGuidedRelax(76.88310666469975)_ConfOrderSearch(Random)(50,NoMaxDiscrepancy) Some(675)
PropGuidedRelax(76.88310666469975)_ConfOrderSearch(Random)(500,NoMaxDiscrepancy) Some(675)
PropGuidedRelax(76.88310666469975)_ConfOrderSearch(Random)(5000,NoMaxDiscrepancy) Some(675)
PropGuidedRelax(230.64931999409922)_ConfOrderSearch(Min)(50,NoMaxDiscrepancy) Some(675)
PropGuidedRelax(230.64931999409922)_ConfOrderSearch(Min)(500,NoMaxDiscrepancy) Some(675)
PropGuidedRelax(230.64931999409922)_ConfOrderSearch(Min)(5000,NoMaxDiscrepancy) Some(675)
RandomRelax(36)_ConfOrderSearch(Max)(50,NoMaxDiscrepancy) Some(675)
PropGuidedRelax(230.64931999409922)_ConfOrderSearch(Max)(50,NoMaxDiscrepancy) Some(675)
PropGuidedRelax(230.64931999409922)_ConfOrderSearch(Max)(500,NoMaxDiscrepancy) Some(675)
PropGuidedRelax(230.64931999409922)_ConfOrderSearch(Max)(5000,NoMaxDiscrepancy) Some(675)
PropGuidedRelax(230.64931999409922)_ConfOrderSearch(Random)(50,NoMaxDiscrepancy) Some(675)
PropGuidedRelax(230.64931999409922)_ConfOrderSearch(Random)(500,NoMaxDiscrepancy) Some(675)
PropGuidedRelax(230.64931999409922)_ConfOrderSearch(Random)(5000,NoMaxDiscrepancy) Some(675)
PropGuidedRelax(538.1817466528981)_ConfOrderSearch(Min)(50,NoMaxDiscrepancy) Some(675)
PropGuidedRelax(538.1817466528981)_ConfOrderSearch(Min)(500,NoMaxDiscrepancy) Some(675)
PropGuidedRelax(538.1817466528981)_ConfOrderSearch(Min)(5000,NoMaxDiscrepancy) Some(675)
PropGuidedRelax(538.1817466528981)_ConfOrderSearch(Max)(50,NoMaxDiscrepancy) Some(675)
RandomRelax(36)_ConfOrderSearch(Max)(500,NoMaxDiscrepancy) Some(675)
PropGuidedRelax(538.1817466528981)_ConfOrderSearch(Max)(500,NoMaxDiscrepancy) Some(675)
PropGuidedRelax(538.1817466528981)_ConfOrderSearch(Max)(5000,NoMaxDiscrepancy) Some(675)
PropGuidedRelax(538.1817466528981)_ConfOrderSearch(Random)(50,NoMaxDiscrepancy) Some(675)
PropGuidedRelax(538.1817466528981)_ConfOrderSearch(Random)(500,NoMaxDiscrepancy) Some(675)
PropGuidedRelax(538.1817466528981)_ConfOrderSearch(Random)(5000,NoMaxDiscrepancy) Some(675)
PropGuidedRelax(76.88310666469975)_FirstFailSearch(Min)(50,NoMaxDiscrepancy) Some(675)
PropGuidedRelax(76.88310666469975)_FirstFailSearch(Min)(500,NoMaxDiscrepancy) Some(675)
PropGuidedRelax(76.88310666469975)_FirstFailSearch(Min)(5000,NoMaxDiscrepancy) Some(675)
PropGuidedRelax(76.88310666469975)_FirstFailSearch(Max)(50,NoMaxDiscrepancy) Some(675)
PropGuidedRelax(76.88310666469975)_FirstFailSearch(Max)(500,NoMaxDiscrepancy) Some(675)
RandomRelax(36)_ConfOrderSearch(Max)(5000,NoMaxDiscrepancy) Some(675)
PropGuidedRelax(76.88310666469975)_FirstFailSearch(Max)(5000,NoMaxDiscrepancy) Some(675)
PropGuidedRelax(76.88310666469975)_FirstFailSearch(Random)(50,NoMaxDiscrepancy) Some(675)
PropGuidedRelax(76.88310666469975)_FirstFailSearch(Random)(500,NoMaxDiscrepancy) Some(675)
PropGuidedRelax(76.88310666469975)_FirstFailSearch(Random)(5000,NoMaxDiscrepancy) Some(675)
PropGuidedRelax(230.64931999409922)_FirstFailSearch(Min)(50,NoMaxDiscrepancy) Some(675)
PropGuidedRelax(230.64931999409922)_FirstFailSearch(Min)(500,NoMaxDiscrepancy) Some(675)
PropGuidedRelax(230.64931999409922)_FirstFailSearch(Min)(5000,NoMaxDiscrepancy) Some(675)
PropGuidedRelax(230.64931999409922)_FirstFailSearch(Max)(50,NoMaxDiscrepancy) Some(675)
PropGuidedRelax(230.64931999409922)_FirstFailSearch(Max)(500,NoMaxDiscrepancy) Some(675)
PropGuidedRelax(230.64931999409922)_FirstFailSearch(Max)(5000,NoMaxDiscrepancy) Some(675)
RandomRelax(36)_ConfOrderSearch(Random)(50,NoMaxDiscrepancy) Some(675)
PropGuidedRelax(230.64931999409922)_FirstFailSearch(Random)(50,NoMaxDiscrepancy) Some(675)
PropGuidedRelax(230.64931999409922)_FirstFailSearch(Random)(500,NoMaxDiscrepancy) Some(675)
PropGuidedRelax(230.64931999409922)_FirstFailSearch(Random)(5000,NoMaxDiscrepancy) Some(675)
PropGuidedRelax(538.1817466528981)_FirstFailSearch(Min)(50,NoMaxDiscrepancy) Some(675)
PropGuidedRelax(538.1817466528981)_FirstFailSearch(Min)(500,NoMaxDiscrepancy) Some(675)
PropGuidedRelax(538.1817466528981)_FirstFailSearch(Min)(5000,NoMaxDiscrepancy) Some(675)
PropGuidedRelax(538.1817466528981)_FirstFailSearch(Max)(50,NoMaxDiscrepancy) Some(675)
PropGuidedRelax(538.1817466528981)_FirstFailSearch(Max)(500,NoMaxDiscrepancy) Some(675)
PropGuidedRelax(538.1817466528981)_FirstFailSearch(Max)(5000,NoMaxDiscrepancy) Some(675)
PropGuidedRelax(538.1817466528981)_FirstFailSearch(Random)(50,NoMaxDiscrepancy) Some(675)
RandomRelax(36)_ConfOrderSearch(Random)(500,NoMaxDiscrepancy) Some(675)
PropGuidedRelax(538.1817466528981)_FirstFailSearch(Random)(500,NoMaxDiscrepancy) Some(675)
PropGuidedRelax(538.1817466528981)_FirstFailSearch(Random)(5000,NoMaxDiscrepancy) Some(675)
RandomValGroupsRelax(12)_ConfOrderSearch(Min)(50,NoMaxDiscrepancy) Some(675)
RandomValGroupsRelax(12)_ConfOrderSearch(Min)(500,NoMaxDiscrepancy) Some(675)
RandomValGroupsRelax(12)_ConfOrderSearch(Min)(5000,NoMaxDiscrepancy) Some(675)
RandomValGroupsRelax(12)_ConfOrderSearch(Max)(50,NoMaxDiscrepancy) Some(675)
RandomValGroupsRelax(12)_ConfOrderSearch(Max)(500,NoMaxDiscrepancy) Some(675)
RandomValGroupsRelax(12)_ConfOrderSearch(Max)(5000,NoMaxDiscrepancy) Some(675)
RandomValGroupsRelax(12)_ConfOrderSearch(Random)(50,NoMaxDiscrepancy) Some(675)
RandomValGroupsRelax(12)_ConfOrderSearch(Random)(500,NoMaxDiscrepancy) Some(675)
RandomRelax(36)_ConfOrderSearch(Random)(5000,NoMaxDiscrepancy) Some(675)
RandomValGroupsRelax(12)_ConfOrderSearch(Random)(5000,NoMaxDiscrepancy) Some(675)
RandomValGroupsRelax(36)_ConfOrderSearch(Min)(50,NoMaxDiscrepancy) Some(675)
RandomValGroupsRelax(36)_ConfOrderSearch(Min)(500,NoMaxDiscrepancy) Some(675)
RandomValGroupsRelax(36)_ConfOrderSearch(Min)(5000,NoMaxDiscrepancy) Some(675)
RandomValGroupsRelax(36)_ConfOrderSearch(Max)(50,NoMaxDiscrepancy) Some(675)
RandomValGroupsRelax(36)_ConfOrderSearch(Max)(500,NoMaxDiscrepancy) Some(675)
RandomValGroupsRelax(36)_ConfOrderSearch(Max)(5000,NoMaxDiscrepancy) Some(675)
RandomValGroupsRelax(36)_ConfOrderSearch(Random)(50,NoMaxDiscrepancy) Some(675)
RandomValGroupsRelax(36)_ConfOrderSearch(Random)(500,NoMaxDiscrepancy) Some(675)
RandomValGroupsRelax(36)_ConfOrderSearch(Random)(5000,NoMaxDiscrepancy) Some(675)
RandomValGroupsRelax(12)_FirstFailSearch(Min)(50,NoMaxDiscrepancy) Some(675)
RandomValGroupsRelax(12)_FirstFailSearch(Min)(500,NoMaxDiscrepancy) Some(675)
RandomValGroupsRelax(12)_FirstFailSearch(Min)(5000,NoMaxDiscrepancy) Some(675)
RandomValGroupsRelax(12)_FirstFailSearch(Max)(50,NoMaxDiscrepancy) Some(675)
RandomValGroupsRelax(12)_FirstFailSearch(Max)(500,NoMaxDiscrepancy) Some(675)
RandomValGroupsRelax(12)_FirstFailSearch(Max)(5000,NoMaxDiscrepancy) Some(675)
RandomValGroupsRelax(12)_FirstFailSearch(Random)(50,NoMaxDiscrepancy) Some(675)
RandomValGroupsRelax(12)_FirstFailSearch(Random)(500,NoMaxDiscrepancy) Some(675)
RandomValGroupsRelax(12)_FirstFailSearch(Random)(5000,NoMaxDiscrepancy) Some(675)
RandomValGroupsRelax(36)_FirstFailSearch(Min)(50,NoMaxDiscrepancy) Some(675)
RandomValGroupsRelax(36)_FirstFailSearch(Min)(500,NoMaxDiscrepancy) Some(675)
RandomRelax(12)_ConfOrderSearch(Min)(5000,NoMaxDiscrepancy) Some(675)
RandomValGroupsRelax(36)_FirstFailSearch(Min)(5000,NoMaxDiscrepancy) Some(675)
RandomValGroupsRelax(36)_FirstFailSearch(Max)(50,NoMaxDiscrepancy) Some(675)
RandomValGroupsRelax(36)_FirstFailSearch(Max)(500,NoMaxDiscrepancy) Some(675)
RandomValGroupsRelax(36)_FirstFailSearch(Max)(5000,NoMaxDiscrepancy) Some(675)
RandomValGroupsRelax(36)_FirstFailSearch(Random)(50,NoMaxDiscrepancy) Some(675)
RandomValGroupsRelax(36)_FirstFailSearch(Random)(500,NoMaxDiscrepancy) Some(675)
RandomValGroupsRelax(36)_FirstFailSearch(Random)(5000,NoMaxDiscrepancy) Some(675)
MinMaxValRelax(12)_ConfOrderSearch(Min)(50,NoMaxDiscrepancy) Some(675)
MinMaxValRelax(12)_ConfOrderSearch(Min)(500,NoMaxDiscrepancy) Some(675)
MinMaxValRelax(12)_ConfOrderSearch(Min)(5000,NoMaxDiscrepancy) Some(675)
MinMaxValRelax(12)_ConfOrderSearch(Max)(50,NoMaxDiscrepancy) Some(675)
MinMaxValRelax(12)_ConfOrderSearch(Max)(500,NoMaxDiscrepancy) Some(675)
MinMaxValRelax(12)_ConfOrderSearch(Max)(5000,NoMaxDiscrepancy) Some(675)
MinMaxValRelax(12)_ConfOrderSearch(Random)(50,NoMaxDiscrepancy) Some(675)
MinMaxValRelax(12)_ConfOrderSearch(Random)(500,NoMaxDiscrepancy) Some(675)
MinMaxValRelax(12)_ConfOrderSearch(Random)(5000,NoMaxDiscrepancy) Some(675)
MinMaxValRelax(36)_ConfOrderSearch(Min)(50,NoMaxDiscrepancy) Some(675)
MinMaxValRelax(36)_ConfOrderSearch(Min)(500,NoMaxDiscrepancy) Some(675)
MinMaxValRelax(36)_ConfOrderSearch(Min)(5000,NoMaxDiscrepancy) Some(675)
MinMaxValRelax(36)_ConfOrderSearch(Max)(50,NoMaxDiscrepancy) Some(675)
MinMaxValRelax(36)_ConfOrderSearch(Max)(500,NoMaxDiscrepancy) Some(675)
MinMaxValRelax(36)_ConfOrderSearch(Max)(5000,NoMaxDiscrepancy) Some(675)
MinMaxValRelax(36)_ConfOrderSearch(Random)(50,NoMaxDiscrepancy) Some(675)
MinMaxValRelax(36)_ConfOrderSearch(Random)(500,NoMaxDiscrepancy) Some(675)
MinMaxValRelax(36)_ConfOrderSearch(Random)(5000,NoMaxDiscrepancy) Some(675)
MinMaxValRelax(84)_ConfOrderSearch(Min)(50,NoMaxDiscrepancy) Some(675)
MinMaxValRelax(84)_ConfOrderSearch(Min)(500,NoMaxDiscrepancy) Some(675)
MinMaxValRelax(84)_ConfOrderSearch(Min)(5000,NoMaxDiscrepancy) Some(675)
MinMaxValRelax(84)_ConfOrderSearch(Max)(50,NoMaxDiscrepancy) Some(675)
MinMaxValRelax(84)_ConfOrderSearch(Max)(500,NoMaxDiscrepancy) Some(675)
MinMaxValRelax(84)_ConfOrderSearch(Max)(5000,NoMaxDiscrepancy) Some(675)
MinMaxValRelax(84)_ConfOrderSearch(Random)(50,NoMaxDiscrepancy) Some(675)
MinMaxValRelax(84)_ConfOrderSearch(Random)(500,NoMaxDiscrepancy) Some(675)
MinMaxValRelax(84)_ConfOrderSearch(Random)(5000,NoMaxDiscrepancy) Some(675)
MinMaxValRelax(12)_FirstFailSearch(Min)(50,NoMaxDiscrepancy) Some(675)
MinMaxValRelax(12)_FirstFailSearch(Min)(500,NoMaxDiscrepancy) Some(675)
MinMaxValRelax(12)_FirstFailSearch(Min)(5000,NoMaxDiscrepancy) Some(675)
MinMaxValRelax(12)_FirstFailSearch(Max)(50,NoMaxDiscrepancy) Some(675)
MinMaxValRelax(12)_FirstFailSearch(Max)(500,NoMaxDiscrepancy) Some(675)
MinMaxValRelax(12)_FirstFailSearch(Max)(5000,NoMaxDiscrepancy) Some(675)
MinMaxValRelax(12)_FirstFailSearch(Random)(50,NoMaxDiscrepancy) Some(675)
MinMaxValRelax(12)_FirstFailSearch(Random)(500,NoMaxDiscrepancy) Some(675)
MinMaxValRelax(12)_FirstFailSearch(Random)(5000,NoMaxDiscrepancy) Some(675)
MinMaxValRelax(36)_FirstFailSearch(Min)(50,NoMaxDiscrepancy) Some(675)
MinMaxValRelax(36)_FirstFailSearch(Min)(500,NoMaxDiscrepancy) Some(675)
MinMaxValRelax(36)_FirstFailSearch(Min)(5000,NoMaxDiscrepancy) Some(675)
MinMaxValRelax(36)_FirstFailSearch(Max)(50,NoMaxDiscrepancy) Some(675)
MinMaxValRelax(36)_FirstFailSearch(Max)(500,NoMaxDiscrepancy) Some(675)
MinMaxValRelax(36)_FirstFailSearch(Max)(5000,NoMaxDiscrepancy) Some(675)
MinMaxValRelax(36)_FirstFailSearch(Random)(50,NoMaxDiscrepancy) Some(675)
MinMaxValRelax(36)_FirstFailSearch(Random)(500,NoMaxDiscrepancy) Some(675)
MinMaxValRelax(36)_FirstFailSearch(Random)(5000,NoMaxDiscrepancy) Some(675)
MinMaxValRelax(84)_FirstFailSearch(Min)(50,NoMaxDiscrepancy) Some(675)
MinMaxValRelax(84)_FirstFailSearch(Min)(500,NoMaxDiscrepancy) Some(675)
MinMaxValRelax(84)_FirstFailSearch(Min)(5000,NoMaxDiscrepancy) Some(675)
MinMaxValRelax(84)_FirstFailSearch(Max)(50,NoMaxDiscrepancy) Some(675)
MinMaxValRelax(84)_FirstFailSearch(Max)(500,NoMaxDiscrepancy) Some(675)
MinMaxValRelax(84)_FirstFailSearch(Max)(5000,NoMaxDiscrepancy) Some(675)
MinMaxValRelax(84)_FirstFailSearch(Random)(50,NoMaxDiscrepancy) Some(675)
MinMaxValRelax(84)_FirstFailSearch(Random)(500,NoMaxDiscrepancy) Some(675)
MinMaxValRelax(84)_FirstFailSearch(Random)(5000,NoMaxDiscrepancy) Some(675)
RandomRelax(12)_FirstFailSearch(Min)(50,NoMaxDiscrepancy) Some(675)
RandomRelax(12)_FirstFailSearch(Min)(500,NoMaxDiscrepancy) Some(675)
RandomRelax(12)_FirstFailSearch(Min)(5000,NoMaxDiscrepancy) Some(675)
RandomRelax(12)_ConfOrderSearch(Max)(50,NoMaxDiscrepancy) Some(675)
RandomRelax(12)_FirstFailSearch(Max)(50,NoMaxDiscrepancy) Some(675)
RandomRelax(12)_FirstFailSearch(Max)(500,NoMaxDiscrepancy) Some(675)
RandomRelax(12)_FirstFailSearch(Max)(5000,NoMaxDiscrepancy) Some(675)
RandomRelax(12)_FirstFailSearch(Random)(50,NoMaxDiscrepancy) Some(675)
RandomRelax(12)_FirstFailSearch(Random)(500,NoMaxDiscrepancy) Some(675)
RandomRelax(12)_FirstFailSearch(Random)(5000,NoMaxDiscrepancy) Some(675)
RandomRelax(36)_FirstFailSearch(Min)(50,NoMaxDiscrepancy) Some(675)
RandomRelax(36)_FirstFailSearch(Min)(500,NoMaxDiscrepancy) Some(675)
RandomRelax(36)_FirstFailSearch(Min)(5000,NoMaxDiscrepancy) Some(675)
RandomRelax(36)_FirstFailSearch(Max)(50,NoMaxDiscrepancy) Some(675)
RandomRelax(12)_ConfOrderSearch(Max)(500,NoMaxDiscrepancy) Some(675)
RandomRelax(36)_FirstFailSearch(Max)(500,NoMaxDiscrepancy) Some(675)
RandomRelax(36)_FirstFailSearch(Max)(5000,NoMaxDiscrepancy) Some(675)
RandomRelax(36)_FirstFailSearch(Random)(50,NoMaxDiscrepancy) Some(675)
RandomRelax(36)_FirstFailSearch(Random)(500,NoMaxDiscrepancy) Some(675)
RandomRelax(36)_FirstFailSearch(Random)(5000,NoMaxDiscrepancy) Some(675)
RandomRelax(12)_ConfOrderSearch(Max)(5000,NoMaxDiscrepancy) Some(675)
CircuitKoptRelax(6)_ConfOrderSearch(Min)(50,NoMaxDiscrepancy) Some(675)
CircuitKoptRelax(6)_ConfOrderSearch(Min)(500,NoMaxDiscrepancy) Some(675)
CircuitKoptRelax(6)_ConfOrderSearch(Min)(5000,NoMaxDiscrepancy) Some(675)
CircuitKoptRelax(6)_ConfOrderSearch(Max)(50,NoMaxDiscrepancy) Some(675)
CircuitKoptRelax(6)_ConfOrderSearch(Max)(500,NoMaxDiscrepancy) Some(675)
CircuitKoptRelax(6)_ConfOrderSearch(Max)(5000,NoMaxDiscrepancy) Some(675)
RandomRelax(12)_ConfOrderSearch(Random)(50,NoMaxDiscrepancy) Some(675)
